anio,trimestre,provincia,pesos,unidades
2016,2,Mendoza,82694423.64,5965326
2016,2,Misiones,27107811.16,781492
2016,2,Neuquén,45934361.39,2674472
2016,2,Río Negro,32028474.34,1737031
2016,2,Salta,30024508.39,1391059
2016,2,San Juan,22005304.86,1377513
2016,2,San Luis,14692403.45,999065
2016,2,Santa Cruz,21391828.71,585415
2016,2,Santa Fe,253955774.49,12231572
2016,2,Santiago del Estero,23379167.78,3125040
2016,2,Tierra del Fuego,13821631.7,586117
2016,2,Tucumán,54216058.9,4924069
2016,3,Buenos Aires,667826254.5,56316752
2016,3,CABA y GBA,3183055371.08,170794423
2016,3,Catamarca,14140687.55,594587
2016,3,Chaco,48658808.52,3999391
2016,3,Chubut,49256957.03,1780453
2016,3,Córdoba,280542782.79,16284111
2016,3,Corrientes,29312264.1,1394564
2016,3,Entre Ríos,58908212.18,3160613
2016,3,Formosa,17762654.66,1213420
2016,3,Jujuy,15744017.06,1342383
2016,3,La Pampa,23841286.06,2531532
2016,3,La Rioja,12398246.23,513036
2016,3,Mendoza,84169206,5874590
2016,3,Misiones,33178996.51,750639
2016,3,Neuquén,54118794.86,2566628
2016,3,Río Negro,35853488.9,1700035
2016,3,Salta,34030045.02,1295999
2016,3,San Juan,23659970.17,1100067
2016,3,San Luis,17824264.59,955985
2016,3,Santa Cruz,22698514.57,547842
2016,3,Santa Fe,255363810,11345682
2016,3,Santiago del Estero,29709094.6,3375627
2016,3,Tierra del Fuego,15166799.29,457349
2016,3,Tucumán,64024718.15,4967940
2016,4,Buenos Aires,796910476.06,53348359
2016,4,CABA y GBA,3552801731.23,171833933
2016,4,Catamarca,14678182.97,706249
2016,4,Chaco,50440326.46,3576101
2016,4,Chubut,53745724.86,2231926
2016,4,Córdoba,337495103.63,16392537
2016,4,Corrientes,27020292.22,1259467
2016,4,Entre Ríos,70961735.42,3479789
2016,4,Formosa,19602749.16,1063990
2016,4,Jujuy,16256529.2,1356139
2016,4,La Pampa,21534707.49,2569787
2016,4,La Rioja,12502814.21,441307
2016,4,Mendoza,106462966.57,6876780
2016,4,Misiones,38215640.74,727397
2016,4,Neuquén,56274698.99,2870148
2016,4,Río Negro,44818647.58,1999995
2016,4,Salta,37680611.7,1456380
2016,4,San Juan,18201879.8,836616
2016,4,San Luis,18286467.97,1046348
2016,4,Santa Cruz,23116202.74,598335
2016,4,Santa Fe,289873608.01,11604885
2016,4,Santiago del Estero,34253731.1,3120652
2016,4,Tierra del Fuego,15111487.77,594641
2016,4,Tucumán,70427672.96,5235236
2017,1,Buenos Aires,962789014.95,64372891
2017,1,CABA y GBA,3292784104.79,163888601
2017,1,Catamarca,13990556.98,684062
2017,1,Chaco,52865419.35,3331458
2017,1,Chubut,51485580.82,1773551
2017,1,Córdoba,319060909.57,16209797
2017,1,Corrientes,27465489.78,1274279
2017,1,Entre Ríos,65532274.08,3293483
2017,1,Formosa,19404285.66,899164
2017,1,Jujuy,16969410.45,1404308
2017,1,La Pampa,22335685.3,2766396
2017,1,La Rioja,13656995.02,563048
2017,1,Mendoza,122716703.42,7464489
2017,1,Misiones,38211809.25,678185
2017,1,Neuquén,53632477.84,2841919
2017,1,Río Negro,44407593.1,1787577
2017,1,Salta,39662178.8,1369258
2017,1,San Juan,24768828.14,1939533
2017,1,San Luis,21478100.65,1008070
2017,1,Santa Cruz,21706528.93,527292
2017,1,Santa Fe,291886868.75,12124621
2017,1,Santiago del Estero,23975394.43,1998279
2017,1,Tierra del Fuego,15456568.82,523959
2017,1,Tucumán,63358729.72,4022200
2017,2,Buenos Aires,958891642.05,59308770
2017,2,CABA y GBA,3673895123.73,163891623
2017,2,Catamarca,22692951.32,826549
2017,2,Chaco,59527103.65,3477390
2017,2,Chubut,55289999.68,1532656
2017,2,Córdoba,307256151.02,14100357
2017,2,Corrientes,35345590.85,1474800
2017,2,Entre Ríos,71943598.26,3358919
2017,2,Formosa,22501674.57,907396
2017,2,Jujuy,20286259.82,1289260
2017,2,La Pampa,24679663.43,2182016
2017,2,La Rioja,15200053.8,462776
2017,2,Mendoza,127555318.05,7555593
2017,2,Misiones,48623874.14,730499
2017,2,Neuquén,59494459.68,2405433
2017,2,Río Negro,65863722.28,2078245
2017,2,Salta,51311169.39,1497736
2017,2,San Juan,24572175.63,1600281
2017,2,San Luis,23493142.25,998206
2017,2,Santa Cruz,27088859.06,457506
2017,2,Santa Fe,324975413.87,11406920
2017,2,Santiago del Estero,33947554.8,2863675
2017,2,Tierra del Fuego,20021889.98,473738
2017,2,Tucumán,73299812.23,4485752
2017,3,Buenos Aires,1189720747.77,65417037
2017,3,CABA y GBA,3619999281.36,156208670
