anio;mes;postales;telegraficas;monetarios
2024;3;76726780789.56;2569940809;78334787.73
2024;4;87165866275.93;2771287310;-18432995.71
2024;5;102135265840.44;3004700431;329326136.6
2024;6;101694076169.19;2393235765;258823819.3
2024;7;112692023247.78;2767499850.29;249040365.6
2024;8;126259409217.98;3940588883.76;247690200.1
2024;9;134694327569.18;3853948459.89;249487418
2024;10;140276904440.14;4030747009;178566451.1
2024;11;153025275988.13;3697888239;4200832955
2024;12;160359693023.84;3754080585;804985982.6
2025;1;142893710888.45;2882058039.56;380667959.8
2025;2;139859658725.79;4413403909.62;585909261.4
2025;3;146356395556.04;4438436138.65;607968614.6
