anio,trimestre,provincia,hogres,comercial,gobierno,otros,total
2022,2,Córdoba,443560,41786,1904,7845,495095
2022,2,Corrientes,79748,7513,342,1410,89013
2022,2,Entre Ríos,143480,13517,616,2538,160151
2022,2,Formosa,31523,2970,135,558,35186
2022,2,Jujuy,31944,3009,137,565,35655
2022,2,La Pampa,59445,5600,255,1051,66351
2022,2,La Rioja,22924,2159,98,405,25586
2022,2,Mendoza,145977,13752,627,2582,162938
2022,2,Misiones,68398,6444,294,1210,76346
2022,2,Neuquén,61543,5798,264,1088,68693
2022,2,Río Negro,60348,5685,259,1067,67359
2022,2,Salta,77373,7289,332,1368,86362
2022,2,San Juan,47306,4457,203,837,52803
2022,2,San Luis,24822,2338,107,439,27706
2022,2,Santa Cruz,20594,1940,88,364,22986
2022,2,Santa Fe,439437,41397,1886,7772,490492
2022,2,Santiago del Estero,58153,5478,250,1028,64909
2022,2,Tierra del Fuego,13289,1252,57,235,14833
2022,2,Tucumán,145875,13742,626,2580,162823
2022,3,Buenos Aires,2791694,265040,11756,48270,3116760
2022,3,Capital Federal,1404441,133336,5914,24284,1567975
2022,3,Catamarca,22971,2181,97,397,25646
2022,3,Chaco,58715,5574,247,1015,65551
2022,3,Chubut,52576,4991,221,909,58697
2022,3,Córdoba,436156,41408,1837,7541,486942
2022,3,Corrientes,80594,7651,339,1393,89977
2022,3,Entre Ríos,140805,13368,593,2435,157201
2022,3,Formosa,31577,2998,133,546,35254
2022,3,Jujuy,32252,3062,136,558,36008
2022,3,La Pampa,59307,5630,250,1025,66212
2022,3,La Rioja,22793,2164,96,394,25447
2022,3,Mendoza,124018,11774,522,2144,138458
2022,3,Misiones,68616,6514,289,1186,76605
2022,3,Neuquén,65457,6214,276,1132,73079
2022,3,Río Negro,58320,5537,246,1008,65111
2022,3,Salta,78622,7464,331,1359,87776
2022,3,San Juan,54269,5152,229,938,60588
2022,3,San Luis,22726,2158,96,393,25373
2022,3,Santa Cruz,20419,1939,86,353,22797
2022,3,Santa Fe,445778,42322,1877,7708,497685
2022,3,Santiago del Estero,56091,5325,236,970,62622
2022,3,Tierra del Fuego,17128,1626,72,296,19122
2022,3,Tucumán,146684,13926,618,2536,163764
2022,4,Buenos Aires,2802796,264038,12029,49568,3128431
2022,4,Capital Federal,1400437,131928,6010,24767,1563142
2022,4,Catamarca,22473,2117,96,397,25083
2022,4,Chaco,57950,5459,249,1025,64683
2022,4,Chubut,48601,4579,209,860,54249
2022,4,Córdoba,443560,41786,1904,7845,495095
2022,4,Corrientes,79748,7513,342,1410,89013
2022,4,Entre Ríos,143480,13517,616,2538,160151
2022,4,Formosa,31523,2970,135,558,35186
2022,4,Jujuy,31944,3009,137,565,35655
2022,4,La Pampa,59445,5600,255,1051,66351
2022,4,La Rioja,22924,2159,98,405,25586
2022,4,Mendoza,145977,13752,627,2582,162938
2022,4,Misiones,68398,6444,294,1210,76346
2022,4,Neuquén,61543,5798,264,1088,68693
2022,4,Río Negro,60348,5685,259,1067,67359
2022,4,Salta,77373,7289,332,1368,86362
2022,4,San Juan,47306,4457,203,837,52803
2022,4,San Luis,24822,2338,107,439,27706
2022,4,Santa Cruz,20594,1940,88,364,22986
2022,4,Santa Fe,439437,41397,1886,7772,490492
2022,4,Santiago del Estero,58153,5478,250,1028,64909
2022,4,Tierra del Fuego,13289,1252,57,235,14833
2022,4,Tucumán,145875,13742,626,2580,162823
2023,1,Buenos Aires,2590193,291279,11371,44983,2937826
2023,1,Capital Federal,1279427,143878,5617,22220,1451142
2023,1,Catamarca,24801,2789,109,431,28130
2023,1,Chaco,70458,7923,309,1224,79914
2023,1,Chubut,50618,5692,222,879,57411
2023,1,Córdoba,504532,56737,2215,8762,572246
2023,1,Corrientes,73387,8253,322,1275,83237
2023,1,Entre Ríos,156653,17617,688,2721,177679
2023,1,Formosa,28992,3260,127,503,32882
2023,1,Jujuy,40065,4506,176,696,45443
2023,1,La Pampa,59869,6733,263,1040,67905
2023,1,La Rioja,22608,2542,99,393,25642
2023,1,Mendoza,151793,17070,666,2636,172165
2023,1,Misiones,75309,8469,331,1308,85417
2023,1,Neuquén,55106,6197,242,957,62502
2023,1,Río Negro,59511,6692,261,1034,67498
2023,1,Salta,89696,10087,394,1558,101735
2023,1,San Juan,52756,5933,232,916,59837
2023,1,San Luis,25564,2875,112,444,28995
2023,1,Santa Cruz,19658,2211,86,341,22296
2023,1,Santa Fe,528080,59385,2318,9171,598954
2023,1,Santiago del Estero,56828,6391,249,987,64455
2023,1,Tierra del Fuego,14815,1666,65,257,16803
2023,1,Tucumán,152218,17118,668,2644,172648
2023,2,Buenos Aires,2793773,299661,12436,42016,3147886
2023,2,Capital Federal,1466033,157247,6526,22048,1651854
2023,2,Catamarca,18074,1939,80,272,20365
2023,2,Chaco,47897,5137,213,720,53967
2023,2,Chubut,48049,5154,214,723,54140
2023,2,Córdoba,427266,45829,1902,6426,481423
2023,2,Corrientes,70887,7603,316,1066,79872
2023,2,Entre Ríos,129069,13844,575,1941,145429
2023,2,Formosa,31766,3407,141,478,35792
2023,2,Jujuy,24661,2645,110,371,27787
2023,2,La Pampa,59947,6430,267,902,67546
2023,2,La Rioja,20422,2191,91,307,23011
2023,2,Mendoza,167466,17963,745,2519,188693
2023,2,Misiones,60485,6488,269,910,68152
2023,2,Neuquén,60010,6437,267,903,67617
2023,2,Río Negro,61702,6618,275,928,69523
2023,2,Salta,66426,7125,296,999,74846
2023,2,San Juan,47476,5092,211,714,53493
2023,2,San Luis,24780,2658,110,373,27921
2023,2,Santa Cruz,19793,2123,88,298,22302
