anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2017,3,Santa Fe,17.83,56.64
2017,3,Santiago del Estero,10.33,41.54
2017,3,Tierra del Fuego,24.84,83.42
2017,3,Tucumán,10.99,44.27
2017,4,Buenos Aires,15.54,48.1
2017,4,CABA,24.15,57.5
2017,4,Catamarca,7.24,28.46
2017,4,Chaco,8.64,32.34
2017,4,Chubut,12,39.13
2017,4,Córdoba,28.42,92.84
2017,4,Corrientes,9.66,36.7
2017,4,Entre Ríos,15.49,51.81
2017,4,Formosa,8.29,32.57
2017,4,Jujuy,11.62,45.43
2017,4,La Pampa,23.98,72.78
2017,4,La Rioja,6.24,23.42
2017,4,Mendoza,5.88,21.08
2017,4,Misiones,10.9,40.01
2017,4,Neuquén,12.03,40.41
2017,4,Río Negro,12.57,40.87
2017,4,Salta,12.81,52.87
2017,4,San Juan,5.2,20.41
2017,4,San Luis,12.74,44.52
2017,4,Santa Cruz,14.67,49.29
2017,4,Santa Fe,18.15,57.72
2017,4,Santiago del Estero,10.11,40.76
2017,4,Tierra del Fuego,24.67,83.2
2017,4,Tucumán,7.15,28.85
2018,1,Buenos Aires,15.49,47.83
2018,1,CABA,24.18,57.64
2018,1,Catamarca,21.87,85.99
2018,1,Chaco,9.33,34.9
2018,1,Chubut,12.24,39.93
2018,1,Córdoba,30.09,98.26
2018,1,Corrientes,9.64,36.62
2018,1,Entre Ríos,15.51,51.87
2018,1,Formosa,8.85,34.77
2018,1,Jujuy,11.81,46.16
2018,1,La Pampa,23.86,72.41
2018,1,La Rioja,6.23,23.39
2018,1,Mendoza,4.55,16.3
2018,1,Misiones,10.94,40.15
2018,1,Neuquén,11.97,40.2
2018,1,Río Negro,12.41,40.36
2018,1,Salta,12.69,52.4
2018,1,San Juan,4.92,19.3
2018,1,San Luis,12.56,43.87
2018,1,Santa Cruz,15.43,51.84
2018,1,Santa Fe,17.96,57.1
2018,1,Santiago Del Estero,10.09,40.67
2018,1,Tierra Del Fuego,24.64,83.12
2018,1,Tucumán,7.14,28.81
2018,2,Buenos Aires,15.5,47.76
2018,2,CABA,24.21,57.79
2018,2,Catamarca,19.25,75.66
2018,2,Chaco,9.2,34.41
2018,2,Chubut,12.51,40.8
2018,2,Córdoba,30.28,98.89
