anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2021,3,Corrientes,10.22,38.82
2021,3,Entre Ríos,17.42,58.25
2021,3,Formosa,10.83,42.57
2021,3,Jujuy,13.82,54.05
2021,3,La Pampa,22.4,67.98
2021,3,La Rioja,5.19,19.49
2021,3,Mendoza,5.58,20
2021,3,Misiones,11,40.38
2021,3,Neuquén,11.56,38.84
2021,3,Río Negro,14.79,48.08
2021,3,Salta,16.83,69.51
2021,3,San Juan,4.3,16.88
2021,3,San Luis,8.99,31.41
2021,3,Santa Cruz,11.23,37.74
2021,3,Santa Fe,23.12,73.52
2021,3,Santiago Del Estero,19.26,77.62
2021,3,Tierra Del Fuego,23.79,80.26
2021,3,Tucumán,6.6,26.64
2021,4,Buenos Aires,16.89,50.38
2021,4,CABA,24.22,58.79
2021,4,Catamarca,10.68,42.01
2021,4,Chaco,9.61,35.97
2021,4,Chubut,12.1,39.48
2021,4,Córdoba,29.33,95.8
2021,4,Corrientes,10.27,39.01
2021,4,Entre Ríos,16.34,54.64
2021,4,Formosa,11.01,43.27
2021,4,Jujuy,13.84,54.13
2021,4,La Pampa,22.72,68.95
2021,4,La Rioja,6.39,24.01
2021,4,Mendoza,5.73,20.53
2021,4,Misiones,10.9,40.03
2021,4,Neuquén,11.35,38.12
2021,4,Río Negro,14.62,47.53
2021,4,Salta,14.24,58.79
2021,4,San Juan,4.22,16.59
2021,4,San Luis,8.98,31.37
2021,4,Santa Cruz,11.02,37.05
2021,4,Santa Fe,20.89,66.45
2021,4,Santiago Del Estero,19.23,77.49
2021,4,Tierra Del Fuego,23.65,79.76
2021,4,Tucumán,6.39,25.79
2022,1,Buenos Aires,16.7,49.7
2022,1,CABA,24.19,58.78
2022,1,Catamarca,11.18,43.97
2022,1,Chaco,9.78,36.61
2022,1,Chubut,12.22,39.88
2022,1,Córdoba,29.41,96.05
2022,1,Corrientes,11.54,43.83
2022,1,Entre Ríos,16.29,54.48
2022,1,Formosa,10.97,43.1
2022,1,Jujuy,14.01,54.78
2022,1,La Pampa,21.65,65.7
2022,1,La Rioja,5.91,22.19
2022,1,Mendoza,5.96,21.37
2022,1,Misiones,10.88,39.96
2022,1,Neuquén,11.21,37.67
2022,1,Río Negro,14.13,45.94
2022,1,Salta,14.86,61.35
2022,1,San Juan,4.34,17.02
2022,1,San Luis,8.96,31.32
2022,1,Santa Cruz,10.98,36.9
2022,1,Santa Fe,20.78,66.1
2022,1,Santiago Del Estero,14.63,58.96
2022,1,Tierra Del Fuego,23.68,79.88
2022,1,Tucumán,6.92,27.93
2022,2,Buenos Aires,16.76,49.48
2022,2,CABA,24.18,52.97
2022,2,Catamarca,12.35,38.58
2022,2,Chaco,9.95,32.61
2022,2,Chubut,12.39,36.75
2022,2,Córdoba,29.77,81.84
2022,2,Corrientes,11.63,34.92
2022,2,Entre Ríos,16.32,45.96
2022,2,Formosa,10.96,33.97
2022,2,Jujuy,14.28,45.73
2022,2,La Pampa,21.41,55.05
2022,2,La Rioja,5.97,19.06
2022,2,Mendoza,6.4,19.92
2022,2,Misiones,11.07,33.48
2022,2,Neuquén,11.14,29.44
2022,2,Río Negro,14.05,38.56
2022,2,Salta,14.65,51.05
2022,2,San Juan,4.69,15.12
2022,2,San Luis,9.06,25.4
2022,2,Santa Cruz,10.97,35.23
2022,2,Santa Fe,20.91,58.15
2022,2,Santiago Del Estero,14.89,46.85
2022,2,Tierra Del Fuego,23.39,64.18
2022,2,Tucumán,7.65,26.22
2022,3,Buenos Aires,17.13,49.62
2022,3,CABA,23.83,52.9
2022,3,Catamarca,12.14,38.53
2022,3,Chaco,10.68,32.06
2022,3,Chubut,13.48,37.08
2022,3,Córdoba,29.59,81.35
2022,3,Corrientes,11.22,35.93
2022,3,Entre Ríos,16.16,45.94
2022,3,Formosa,11.15,34.1
2022,3,Jujuy,14.4,47.63
2022,3,La Pampa,20.38,51.93
2022,3,La Rioja,6.27,18.99
2022,3,Mendoza,6.52,20.43
2022,3,Misiones,11.11,33.29
2022,3,Neuquén,10.42,28.83
2022,3,Río Negro,13.4,35.96
2022,3,Salta,14.83,50.98
2022,3,San Juan,4.76,15.83
2022,3,San Luis,8.77,25.66
2022,3,Santa Cruz,12.5,35.36
2022,3,Santa Fe,21.28,58.31
2022,3,Santiago Del Estero,14.27,47.79
2022,3,Tierra Del Fuego,23.74,66.75
2022,3,Tucumán,7.56,25.86
2022,4,Buenos Aires,16.97,49.16
2022,4,CABA,23.72,52.65
2022,4,Catamarca,12.57,39.9
2022,4,Chaco,10.72,32.2
2022,4,Chubut,13.53,37.22
2022,4,Córdoba,29.49,81.08
2022,4,Corrientes,11.48,36.76
2022,4,Entre Ríos,16.19,46.04
2022,4,Formosa,11.11,33.98
2022,4,Jujuy,14.71,48.65
2022,4,La Pampa,23.01,58.66
2022,4,La Rioja,6.2,18.77
2022,4,Mendoza,6.66,20.88
2022,4,Misiones,11.14,33.38
2022,4,Neuquén,10.78,29.82
2022,4,Río Negro,13.95,37.43
2022,4,Salta,14.91,51.27
2022,4,San Juan,4.78,15.88
2022,4,San Luis,9.06,26.51
2022,4,Santa Cruz,10.97,31.05
2022,4,Santa Fe,21.27,58.27
2022,4,Santiago Del Estero,14.55,48.73
2022,4,Tierra Del Fuego,24.02,67.54
2022,4,Tucumán,7.91,27.05
2023,1,Buenos Aires,17.36,50.23
2023,1,CABA,24.36,53.83
2023,1,Catamarca,12.33,39.42
2023,1,Chaco,9.94,30.5
2023,1,Chubut,12.89,35.64
2023,1,Córdoba,29.31,81.38
2023,1,Corrientes,11.67,37.29
2023,1,Entre Ríos,15.87,45.47
2023,1,Formosa,11.98,37.01
2023,1,Jujuy,15.16,49.92
2023,1,La Pampa,21.95,56.68
2023,1,La Rioja,6.29,19.37
2023,1,Mendoza,6.89,21.62
2023,1,Misiones,10.76,32.77
2023,1,Neuquén,11.14,30.72
2023,1,Río Negro,13.65,37.21
2023,1,Salta,14.6,50.7
2023,1,San Juan,5.03,16.9
2023,1,San Luis,9.08,26.47
2023,1,Santa Cruz,10.81,30.5
2023,1,Santa Fe,20.61,57.21
2023,1,Santiago Del Estero,14.77,49.41
2023,1,Tierra Del Fuego,24.72,69.04
2023,1,Tucumán,7.96,27.44
2023,2,Buenos Aires,17.96,52.03
2023,2,CABA,26.49,58.53
2023,2,Catamarca,12.43,39.63
2023,2,Chaco,10.37,31.42
2023,2,Chubut,12.81,35.36
2023,2,Córdoba,30.76,84.96
2023,2,Corrientes,12.26,39.37
2023,2,Entre Ríos,16.52,47.14
2023,2,Formosa,12.23,37.6
2023,2,Jujuy,15.3,50.64
2023,2,La Pampa,21.92,56.14
2023,2,La Rioja,6.51,19.87
2023,2,Mendoza,6.99,21.96
2023,2,Misiones,10.97,33.21
2023,2,Neuquén,12.25,34.04
2023,2,Río Negro,13.14,35.54
2023,2,Salta,15.28,52.85
2023,2,San Juan,4.98,16.66
2023,2,San Luis,9.1,26.7
2023,2,Santa Cruz,11.74,33.21
2023,2,Santa Fe,21.23,58.43
2023,2,Santiago Del Estero,14.94,50.17
2023,2,Tierra Del Fuego,25.09,70.66
2023,2,Tucumán,8.23,28.25
2023,3,Buenos Aires,17.33,50.19
2023,3,CABA,23.51,52.2
2023,3,Catamarca,12.92,41.06
2023,3,Chaco,10.12,30.5
2023,3,Chubut,13.28,36.56
2023,3,Córdoba,29.16,80.31
2023,3,Corrientes,11.75,37.56
2023,3,Entre Ríos,16.03,45.64
2023,3,Formosa,12.16,37.24
2023,3,Jujuy,15.47,51.1
2023,3,La Pampa,21.92,56.01
2023,3,La Rioja,8.79,26.72
2023,3,Mendoza,7.05,22.1
2023,3,Misiones,10.68,32.07
2023,3,Neuquén,10.84,29.92
2023,3,Río Negro,13.35,35.92
2023,3,Salta,14.86,51.16
2023,3,San Juan,5.29,17.62
2023,3,San Luis,9.18,26.8
2023,3,Santa Cruz,12.37,34.96
2023,3,Santa Fe,20.54,56.45
2023,3,Santiago Del Estero,14.26,47.7
2023,3,Tierra Del Fuego,25.34,71.05
2023,3,Tucumán,7.36,25.22
2023,4,Buenos Aires,17.39,50.36
2023,4,CABA,23.16,51.41
2023,4,Catamarca,11.97,38.01
2023,4,Chaco,9.78,29.49
2023,4,Chubut,13.04,35.9
2023,4,Córdoba,28.58,78.7
2023,4,Corrientes,10.58,33.83
2023,4,Entre Ríos,17.76,50.56
2023,4,Formosa,12.63,38.68
2023,4,Jujuy,15.14,49.98
2023,4,La Pampa,21.72,55.5
2023,4,La Rioja,6.01,18.27
2023,4,Mendoza,7.08,22.18
2023,4,Misiones,10.06,30.19
2023,4,Neuquén,9.62,26.55
2023,4,Río Negro,12.57,33.82
2023,4,Salta,14.77,50.87
2023,4,San Juan,4.94,16.43
2023,4,San Luis,9.96,29.09
2023,4,Santa Cruz,12.59,35.6
2023,4,Santa Fe,19.16,52.65
2023,4,Santiago Del Estero,15.09,50.47
2023,4,Tierra Del Fuego,25.26,70.85
2023,4,Tucumán,7.48,25.6
2024,1,Buenos Aires,17.2,49.85
2024,1,CABA,22.88,50.57
2024,1,Catamarca,11.64,37.12
2024,1,Chaco,9.68,29.36
2024,1,Chubut,12.96,35.76
2024,1,Córdoba,28.48,78.65
2024,1,Corrientes,10.44,33.52
2024,1,Entre Ríos,17.6,50.22
2024,1,Formosa,15.26,46.91
2024,1,Jujuy,15.07,49.9
2024,1,La Pampa,21.3,54.56
2024,1,La Rioja,5.79,17.68
2024,1,Mendoza,6.85,21.52
2024,1,Misiones,9.84,29.78
2024,1,Neuquén,9.31,25.87
2024,1,Río Negro,12.2,32.99
2024,1,Salta,14.98,51.8
2024,1,San Juan,4.54,15.18
2024,1,San Luis,11.27,33.08
2024,1,Santa Cruz,11.93,33.74
2024,1,Santa Fe,19.09,52.53
2024,1,Santiago Del Estero,14.01,47.04
2024,1,Tierra Del Fuego,25.16,70.85
2024,1,Tucumán,7.38,25.35
2024,2,Buenos Aires,16.47,47.74
2024,2,CABA,22.52,49.76
2024,2,Catamarca,12.5,39.86
2024,2,Chaco,9.55,28.95
2024,2,Chubut,13.03,35.97
2024,2,Córdoba,28.27,78.08
2024,2,Corrientes,10.38,33.34
2024,2,Entre Ríos,17.6,50.23
2024,2,Formosa,15.24,46.86
2024,2,Jujuy,15.09,49.97
2024,2,La Pampa,21.04,53.88
2024,2,La Rioja,5.83,17.78
2024,2,Mendoza,6.8,21.37
2024,2,Misiones,9.91,30
2024,2,Neuquén,9.2,25.54
2024,2,Río Negro,12.33,33.34
2024,2,Salta,15.1,52.2
2024,2,San Juan,4.46,14.93
2024,2,San Luis,11.33,33.24
2024,2,Santa Cruz,11.88,33.59
2024,2,Santa Fe,18.98,52.22
2024,2,Santiago Del Estero,13.93,46.75
2024,2,Tierra Del Fuego,25.38,71.48
2024,2,Tucumán,7.32,25.13
2024,3,Buenos Aires,16.75,48.49
2024,3,CABA,23.08,51.24
2024,3,Catamarca,12.66,40.23
2024,3,Chaco,9.64,29.07
2024,3,Chubut,13.1,36.05
2024,3,Córdoba,28.69,79.02
2024,3,Corrientes,10.6,33.9
2024,3,Entre Ríos,17.89,50.94
2024,3,Formosa,15.14,46.4
2024,3,Jujuy,14.82,48.95
2024,3,La Pampa,20.94,53.5
2024,3,La Rioja,5.78,17.55
2024,3,Mendoza,6.95,21.76
2024,3,Misiones,10.28,30.86
2024,3,Neuquén,9.7,26.77
2024,3,Río Negro,12.63,33.97
2024,3,Salta,15.16,52.21
2024,3,San Juan,4.6,15.3
2024,3,San Luis,11.47,33.51
2024,3,Santa Cruz,11.86,33.53
2024,3,Santa Fe,18.84,51.76
2024,3,Santiago Del Estero,14.06,47.05
2024,3,Tierra Del Fuego,25.75,72.2
2024,3,Tucumán,7.57,25.93
2024,4,Buenos Aires,16.8,48.64
2024,4,CABA,23.63,52.45
2024,4,Catamarca,13.02,41.36
2024,4,Chaco,9.61,28.96
2024,4,Chubut,13.22,36.39
2024,4,Córdoba,29.1,80.14
2024,4,Corrientes,10.65,34.06
2024,4,Entre Ríos,18.09,51.49
2024,4,Formosa,15.49,47.46
2024,4,Jujuy,15.93,52.61
2024,4,La Pampa,21.11,53.93
2024,4,La Rioja,5.99,18.19
2024,4,Mendoza,6.82,21.35
2024,4,Misiones,10.23,30.7
2024,4,Neuquén,9.8,27.05
2024,4,Río Negro,13.27,35.7
2024,4,Salta,15.3,52.69
2024,4,San Juan,4.55,15.16
2024,4,San Luis,11.75,34.3
2024,4,Santa Cruz,11.79,33.34
2024,4,Santa Fe,19,52.21
2024,4,Santiago Del Estero,14.11,47.21
2024,4,Tierra Del Fuego,25.73,72.14
2024,4,Tucumán,7.76,26.59
2025,1,Buenos Aires,16.81,48.67
2025,1,CABA,24.2,53.72
2025,1,Catamarca,12.94,41.11
2025,1,Chaco,9.57,28.86
2025,1,Chubut,13.96,38.43
2025,1,Córdoba,29.2,80.42
2025,1,Corrientes,11.1,35.48
2025,1,Entre Ríos,18.12,51.59
2025,1,Formosa,14.54,44.53
2025,1,Jujuy,16.06,53.04
2025,1,La Pampa,20.52,52.42
2025,1,La Rioja,5.2,15.79
2025,1,Mendoza,6,18.79
2025,1,Misiones,9.94,29.85
2025,1,Neuquén,9.75,26.92
2025,1,Río Negro,14.76,39.7
2025,1,Salta,14,48.21
2025,1,San Juan,4.68,15.58
2025,1,San Luis,11.18,32.65
2025,1,Santa Cruz,10.26,29.01
2025,1,Santa Fe,18.9,51.94
2025,1,Santiago Del Estero,10.73,35.91
2025,1,Tierra Del Fuego,25.56,71.69
2025,1,Tucumán,7.82,26.77
2025,2,Buenos Aires,14.77,42.77
2025,2,CABA,23.57,52.32
2025,2,Catamarca,12.8,40.67
2025,2,Chaco,9.65,29.1
2025,2,Chubut,12.26,33.75
2025,2,Córdoba,28.81,79.33
2025,2,Corrientes,11.06,35.36
2025,2,Entre Ríos,18.24,51.92
2025,2,Formosa,14.9,45.63
2025,2,Jujuy,15.81,52.21
2025,2,La Pampa,20.77,53.08
2025,2,La Rioja,5.59,16.99
2025,2,Mendoza,5.43,17.02
2025,2,Misiones,9.77,29.32
2025,2,Neuquén,8.58,23.68
2025,2,Río Negro,12.47,33.54
2025,2,Salta,15.41,53.07
2025,2,San Juan,3.39,11.28
2025,2,San Luis,12.02,35.11
2025,2,Santa Cruz,10.95,30.95
2025,2,Santa Fe,18.91,51.97
2025,2,Santiago Del Estero,11.21,37.49
2025,2,Tierra Del Fuego,25.72,72.13
2025,2,Tucumán,7.93,27.15
2025,3,Buenos Aires,16.78,48.58
2025,3,CABA,24.31,53.96
2025,3,Catamarca,13.1,41.61
2025,3,Chaco,9.56,28.83
2025,3,Chubut,13.18,36.28
2025,3,Córdoba,28.89,79.57
2025,3,Corrientes,11.05,35.34
2025,3,Entre Ríos,18.04,51.35
2025,3,Formosa,14.88,45.59
2025,3,Jujuy,15.69,51.82
2025,3,La Pampa,20.68,52.84
2025,3,La Rioja,5.39,16.37
2025,3,Mendoza,6.08,19.04
2025,3,Misiones,9.96,29.9
2025,3,Neuquén,9.74,26.88
2025,3,Río Negro,13.08,35.2
2025,3,Salta,14.25,49.06
2025,3,San Juan,4.77,15.89
2025,3,San Luis,11.96,34.92
2025,3,Santa Cruz,10.9,30.82
2025,3,Santa Fe,19,52.21
2025,3,Santiago Del Estero,10.91,36.51
2025,3,Tierra Del Fuego,25.67,71.99
2025,3,Tucumán,7.77,26.62
2025,4,Buenos Aires,16.8,45.8
2025,4,CABA,24.25,59.61
2025,4,Catamarca,12.92,51.52
2025,4,Chaco,9.55,34.2
2025,4,Chubut,13.94,40.87
2025,4,Córdoba,29.16,95.44
2025,4,Corrientes,11.08,43.41
2025,4,Entre Ríos,18.1,61
2025,4,Formosa,14.51,56.89
2025,4,Jujuy,16.04,61.84
2025,4,La Pampa,20.49,62.8
2025,4,La Rioja,5.18,18.75
2025,4,Mendoza,5.99,21.04
2025,4,Misiones,9.9,36.82
2025,4,Neuquén,9.72,32.55
2025,4,Río Negro,14.72,47.51
2025,4,Salta,13.97,56.73
2025,4,San Juan,4.67,18.92
2025,4,San Luis,11.15,38.72
2025,4,Santa Cruz,10.26,28
2025,4,Santa Fe,18.89,60.3
2025,4,Santiago Del Estero,10.72,44.4
2025,4,Tierra Del Fuego,25.5,80.1
2025,4,Tucumán,7.81,31.16
