anio,trimestre,provincia,accesos_100_hab,accesos_100_hog
2016,1,Chaco,8.86,33.16
2016,1,Chubut,21.36,69.67
2016,1,Córdoba,19.56,63.87
2016,1,Corrientes,9.47,35.97
2016,1,Entre Ríos,16.77,56.1
2016,1,Formosa,7.06,27.73
2016,1,Jujuy,7.69,30.07
2016,1,La Pampa,24.15,73.3
2016,1,La Rioja,10.18,38.23
2016,1,Mendoza,20.06,71.88
2016,1,Misiones,9.6,35.26
2016,1,Neuquén,16.27,54.66
2016,1,Río Negro,20.64,67.09
2016,1,Salta,10.35,42.75
2016,1,San Juan,15.32,60.16
2016,1,San Luis,11.19,39.11
2016,1,Santa Cruz,14.47,48.61
2016,1,Santa Fe,21.72,69.06
2016,1,Santiago del Estero,6.9,27.79
2016,1,Tierra del Fuego,25.11,84.69
2016,1,Tucumán,13.17,53.16
2016,2,Buenos Aires,29.22,91.58
2016,2,CABA,51.66,121.27
2016,2,Catamarca,9.63,37.85
2016,2,Chaco,8.92,33.37
2016,2,Chubut,20,65.24
2016,2,Córdoba,19.52,63.75
2016,2,Corrientes,9.49,36.03
2016,2,Entre Ríos,16.88,56.44
2016,2,Formosa,6.97,27.4
2016,2,Jujuy,7.66,29.96
2016,2,La Pampa,23.69,71.89
2016,2,La Rioja,10.17,38.19
2016,2,Mendoza,19.42,69.6
2016,2,Misiones,9.19,33.73
2016,2,Neuquén,15.75,52.92
2016,2,Río Negro,19.92,64.77
2016,2,Salta,10.31,42.56
2016,2,San Juan,14.37,56.4
2016,2,San Luis,11.03,38.53
2016,2,Santa Cruz,13.46,45.23
2016,2,Santa Fe,21.67,68.91
2016,2,Santiago del Estero,7.04,28.38
2016,2,Tierra del Fuego,24.32,82.01
2016,2,Tucumán,13.04,52.65
2016,3,Buenos Aires,28.33,88.63
2016,3,CABA,52.45,123.09
2016,3,Catamarca,9.68,38.05
2016,3,Chaco,8.88,33.23
2016,3,Chubut,20.41,66.58
2016,3,Córdoba,19.5,63.68
2016,3,Corrientes,9.48,35.98
2016,3,Entre Ríos,16.81,56.22
2016,3,Formosa,7.04,27.67
2016,3,Jujuy,7.67,29.98
2016,3,La Pampa,23.88,72.49
2016,3,La Rioja,10.17,38.21
2016,3,Mendoza,19.77,70.85
2016,3,Misiones,9.17,33.68
2016,3,Neuquén,16.14,54.22
2016,3,Río Negro,20.25,65.84
2016,3,Salta,10.31,42.57
2016,3,San Juan,15.01,58.92
2016,3,San Luis,11.12,38.84
2016,3,Santa Cruz,13.51,45.4
2016,3,Santa Fe,21.57,68.6
2016,3,Santiago del Estero,6.97,28.1
2016,3,Tierra del Fuego,24.69,83.27
2016,3,Tucumán,13.08,52.81
2016,4,Buenos Aires,28.86,90.08
2016,4,CABA,52.87,125.25
2016,4,Catamarca,9.61,37.79
2016,4,Chaco,8.79,32.9
2016,4,Chubut,21.07,68.73
2016,4,Córdoba,19.44,63.5
2016,4,Corrientes,9.41,35.72
2016,4,Entre Ríos,16.65,55.69
2016,4,Formosa,7.01,27.54
2016,4,Jujuy,7.62,29.81
2016,4,La Pampa,23.99,72.81
2016,4,La Rioja,10.07,37.83
2016,4,Mendoza,19.89,71.28
2016,4,Misiones,9.52,34.94
2016,4,Neuquén,16.1,54.08
2016,4,Río Negro,20.42,66.39
2016,4,Salta,10.25,42.32
2016,4,San Juan,15.19,59.65
2016,4,San Luis,11.08,38.72
2016,4,Santa Cruz,14.17,47.62
2016,4,Santa Fe,21.61,68.73
2016,4,Santiago del Estero,6.84,27.57
2016,4,Tierra del Fuego,24.61,83.01
2016,4,Tucumán,13.04,52.65
2017,1,Buenos Aires,29.04,91.2
2017,1,CABA,52.62,123.37
2017,1,Catamarca,9.68,38.05
2017,1,Chaco,8.86,33.16
2017,1,Chubut,21.36,69.67
2017,1,Córdoba,19.56,63.87
2017,1,Corrientes,9.47,35.97
2017,1,Entre Ríos,16.77,56.1
2017,1,Formosa,7.06,27.73
2017,1,Jujuy,7.69,30.07
2017,1,La Pampa,24.15,73.3
2017,1,La Rioja,10.18,38.23
2017,1,Mendoza,20.06,71.88
2017,1,Misiones,9.6,35.26
2017,1,Neuquén,16.27,54.66
2017,1,Río Negro,20.64,67.09
2017,1,Salta,10.35,42.75
2017,1,San Juan,15.32,60.16
2017,1,San Luis,11.19,39.11
2017,1,Santa Cruz,14.47,48.61
2017,1,Santa Fe,21.72,69.06
2017,1,Santiago del Estero,6.9,27.79
2017,1,Tierra del Fuego,25.11,84.69
2017,1,Tucumán,13.17,53.16
2017,2,Buenos Aires,29.22,91.58
2017,2,CABA,51.66,121.27
2017,2,Catamarca,9.63,37.85
2017,2,Chaco,8.92,33.37
2017,2,Chubut,20,65.24
2017,2,Córdoba,19.52,63.75
2017,2,Corrientes,9.49,36.03
2017,2,Entre Ríos,16.88,56.44
2017,2,Formosa,6.97,27.4
2017,2,Jujuy,7.66,29.96
2017,2,La Pampa,23.69,71.89
2017,2,La Rioja,10.17,38.19
2017,2,Mendoza,19.42,69.6
2017,2,Misiones,9.19,33.73
2017,2,Neuquén,15.75,52.92
2017,2,Río Negro,19.92,64.77
2017,2,Salta,10.31,42.56
2017,2,San Juan,14.37,56.4
2017,2,San Luis,11.03,38.53
2017,2,Santa Cruz,13.46,45.23
2017,2,Santa Fe,21.67,68.91
2017,2,Santiago del Estero,7.04,28.38
2017,2,Tierra del Fuego,24.32,82.01
2017,2,Tucumán,13.04,52.65
2017,3,Buenos Aires,28.33,88.63
2017,3,CABA,52.45,123.09
2017,3,Catamarca,9.68,38.05
2017,3,Chaco,8.88,33.23
2017,3,Chubut,20.41,66.58
2017,3,Córdoba,19.5,63.68
2017,3,Corrientes,9.48,35.98
2017,3,Entre Ríos,16.81,56.22
2017,3,Formosa,7.04,27.67
2017,3,Jujuy,7.67,29.98
2017,3,La Pampa,23.88,72.49
2017,3,La Rioja,10.17,38.21
2017,3,Mendoza,19.77,70.85
2017,3,Misiones,9.17,33.68
2017,3,Neuquén,16.14,54.22
2017,3,Río Negro,20.25,65.84
2017,3,Salta,10.31,42.57
2017,3,San Juan,15.01,58.92
2017,3,San Luis,11.12,38.84
2017,3,Santa Cruz,13.51,45.4
2017,3,Santa Fe,21.57,68.6
